text,label,split
"Want to build visualisations like this with 
@flutter.dev
?
Our Energy Data Team at 1K5° is hiring #FlutterDev Devs who will be responsible building graphics like this one!
Find out more and apply here 👇
1komma5grad.jobs.personio.de/job/1961203

DM me if you have further questions!",0,train
Anyone looking for a job in genomics (Montreal)? I'm hiring a lab tech to shovel RNA and DNA into our very hungry PromethION. DM me if you fit the bill,0,train
"We’re hiring!

Our new resume portal is live, and we’re looking for top talent in NYC to help build this administration and deliver on our affordability agenda.

Could that be you? Apply using the link below.

http://transition2025.com/apply",0,train
"Hey I’m hiring a 4-year PhD student in #astronomy at UCC to work on studying massive black holes in cosmological simulations! Fast turn around on this bc it is so late (due 6 June) but please pass on to any interested and qualified students! Feel free to dm/email me! 🔭🧪 

www.ucc.ie/en/astro/job...",0,train
"My department is hiring a one-year position in Europe and the World, 1500-1900! DM me with any questions. jobs.chronicle.com/job/37557421...",0,train
"Job opportunity! We're hiring a Guest Experience Coordinator to provide support to the Foundation’s public education programming, donor education and engagement opportunities, nonprofit training sessions, fee-based clients and convening of partnership cohorts. Learn more and apply today.",0,train
"If you're looking for a job in B2B software Sales/Go-To-Market, DM me #jobs #Jobsky #hiring",1,train
"Want to come and work with me at supabase? We’re looking for a docs engineer! A couple more days and we’ll close the job ad, so get those applications in quick! jobs.ashbyhq.com/supabase/65b... Fully remote, great company, open source at heart, and you get to work with me! (Yay?)",0,train
"Remote job alert!
work from home, flexible hours!
join our team, competitive pay!
reliable internet required
apply now, start your journey!
be part of something amazing!",1,train
"I am hiring! 🎓

We offer a fully funded PhD student position to work on exciting machine learning projects utilizing rich, multimodal real-life health data, based at 
@fimm-uh.bsky.social
 in Helsinki, Finland, the happiest country in the world 🇫🇮

jobs.helsinki.fi/job/Helsinki...

Feel free to DM me!",0,train
"@newarab.com.web.brid.gy
 is hiring an investigative journalist. Must have right to work in the UK.

Feel free to DM me if it is of interest.

uk.indeed.com/job/investig...",0,train
"📣Job Opportunity!!📣

Lumiere Education (online research program for high schoolers) is looking for a new: Partnerships and Growth Manager. 

See job description: docs.google.com/document/d/1...

DM me for an application link!",0,train
"We're hiring! If you know a graphics/C++ engineer who wants to build a new CAD kernel, please apply or DM me for more about the role! The job is probably 2:1 ratio of C++ to Rust, but it can skew higher or lower depending on what you want to work on. zoo.dev/jobs/4478481...",0,train
JOB ALERT: FSU is hiring another tenure-track music theory professor! I am happy to answer any questions and chat about the job. Come on down! (also can someone post this on threads and mastodon and hamburps etc.🫠),0,train
"Interested in @AltacJobs applying data analysis skills to federal court data? We’re hiring a data resources specialist. It’s a term one-year position with possibility of renewal. DM me with questions. 
Salary = $105k.
JOB AD: www.usajobs.gov/job/746552400",0,train
Hello all: we are unexpectedly hiring for a freelance Database and Maps Editor. Ideally a full time commitment and someone with games media experience already. Full Job post: www.gamerguides.com/jobs/freelan.... Retweets appreciated. DM me for any questions. Laguna says thanks!,0,train
"We are #hiring Software Engineers in Dublin, Ireland (mostly)!

stripe.com/jobs/listing...

If you want to get more details about the job, drop me a dm!
",0,train
"🚨🚨Journalism job alert: 

Come work with us at Fierce Healthcare. We're hiring a staff writer to cover payers + health tech. You can work remotely! 

DM me with questions! ...",0,train
"Just found a remote job hiring near me, I'd make more than I make where I'm currently at (not by much), get two days off a week, work from home except for some meeting days. It's tempting and I honestly might throw in an application.",0,train
"Snyk is hiring in Zurich 🇨🇭 

If you're following me as a TS / JavaScript dev then Senior Managers with TypeScript could still be considered for the job with strong system design skills.

Apply to the open role via QR or DM me your CV and I'll push it internally as a referral",0,train
Job hunting #PR pros in ATL. I know of an agency seeking a mid-level AS/Director. DM me if interested. #hiring,0,train
"We're hiring!
Love tech? Love talking about tech? Based in UK&I?
Want to work on cool stuff and with me (debatably the cooler part)?
Join our team: job-boards.greenhouse.io/twilio/jobs/...
DM me for the unofficial scoop.",0,train
"My new department (MCDB at University of Dundee) is hiring! The research environment up here is amazing, with a lot of infrastructure support, collaborative colleagues and wonderful environment. Please DM me if you'd like more info. www.jobs.ac.uk/job/DCW357/p...",0,train
ProPublica is hiring a reporter to join our amazing investigative unit with The Texas Tribune. APPLY HERE ➡️ http://propub.li/4qvyjzw,0,train
"🚀 New Remote Job Alert!

💼 Field Marketing Executive - UK & I

🏢 Samsara

🌍 UK 

📁 Customer Experience

💰 £45,000 - £65,000

#RemoteJobs #RemoteWork #WorkFromHome #Hiring #JobOpportunity

Apply now: https://customerremotejobs.com/job/samsara-field-marketing-executive-uk-i",1,train
"If you live in the Pittsburgh region, and are looking for a job, my employer is hiring for a variety of positions, with varying levels of education and experience. This is for high-tech manufacturing, not public-facing service jobs. DM me if you'd like more information.",1,train
"JOB ALERT 🚨

Hiring my first nurse for a virtual mental health program focused on eating disorders! 💚

Part-time | Equipment provided | Multi-state licensing support included.

Looking for a strong LPN w/ sharp critical thinking, time management, & virtual communication skills.",0,train
"JOB ALERT! My department is hiring an Assistant Prof in Sociology. Area of specialization is open. Feel free to DM me if you have any questions about the position. Deadline is Nov. 20th!

http://jobs.uncw.edu/postings/33746",0,train
