No.,text ,username,timestamp,Label by Human
1,We’re looking for part-time remote assistants. Flexible pay. DM for details.,@jobsbykelly,"May 3, 2025, 10:12 AM",1
2,My small consulting team is hiring a virtual scheduler. Message me if you’re interested,@consultlab_co,"Aug 12, 2025, 2:41 PM",1
3,"Hiring! Work-from-home proofreading role. No official website yet, DM me.",@typefix_editor,"Jan 17, 2024, 9:55 PM",1
4,I need a remote admin assistant for 10 hrs/week. Pay negotiable. DM.,@maria_ops,"Mar 22, 2025, 6:20 PM",1
5,Anyone want a part-time gig helping with social media scheduling? Pay per task.,@brandstarter,"Jul 10, 2024, 1:32 PM",1
6,We’re expanding our creative team and need a junior designer. Message for JD.,@studio88_create,"Nov 5, 2025, 12:02 PM",1
7,Remote customer support role for small e-commerce business. No experience needed. DM.,@shophelperhub,"Sep 7, 2025, 8:03 AM",1
8,Looking for researchers to assist with small projects. DM if you have availability.,@researchsidework,"Jun 30, 2025, 5:55 PM",1
9,Hiring remote note-takers for online classes. Pay varies per session.,@studyassist_global,"Dec 12, 2024, 3:42 PM",1
10,Need someone to help me with inbox management & calendar. DM if organized!,@lifebylina,"Apr 4, 2025, 10:21 AM",1
11,Short-term remote transcription gig. Must type fast. DM me for test sample.,@transcribe_daily,"Jan 3, 2025, 11:41 PM",1
12,Hiring! Online moderators for a small Discord community. Paid role.,@gametalkcrew,"Sep 19, 2024, 6:55 PM",1
13,Looking for someone to help with basic finance spreadsheets. Remote. Message if interested.,@budgetbuddy_team,"Oct 22, 2025, 9:18 AM",1
14,My startup is hiring part-time outreach coordinators. Pay via PayPal.,@outreachflow_co,"Feb 18, 2025, 5:10 PM",1
15,Anyone want a research assistant role for a personal project? DM for details.,@privateprojectlab,"Dec 2, 2024, 4:03 PM",1
16,Remote content reviewer needed. Contract basis. No website yet.,@reviewdesk_global,"Jun 14, 2025, 10:02 AM",1
17,Need part-time help for social media outreach. Pay per campaign.,@smallbrandboost,"Jan 27, 2025, 12:54 PM",1
18,Flexible remote tutoring role available. No formal interview. DM to start.,@tutorconnecthub,"May 20, 2025, 8:47 AM",1
19,Looking for online study buddies who can help track assignments (paid).,@collegehelp_zone,"Mar 1, 2025, 3:30 PM",1
20,Join our small editing collective — part-time work available.,@editcircle_collective,"Oct 2, 2024, 7:16 PM",1
21,Hiring remote fitness accountability coaches. Must be motivational!,@fitprogress_team,"Aug 28, 2025, 12:18 PM",1
22,Need outreach ambassadors for a small indie game. Paid per referral.,@pixelquest_dev,"Jan 13, 2024, 2:30 PM",1
23,I'm hiring a part-time assistant to help coordinate local events. Small stipend.,@eventsbyjenny,"Feb 1, 2025, 10:01 AM",1
24,Hiring remote file organizers — must sort PDFs for research project.,@docsort_lab,"May 11, 2025, 9:09 PM",1
25,We’re adding online volunteers for our nonprofit mentorship group. Some roles paid.,@futureleaders_org,"Jul 25, 2025, 3:55 PM",1
,,,,
1,"Work from home — earn $3,000/week guaranteed! Start today. Msg on WhatsApp: NUMBER_REDACTED.",@globalwork247,"Apr 1, 2025, 12:11 PM",2
2,Remote typing job $500/day. Limited slots. Apply: bit.ly/fastapply-work,@easyincomehub,"Nov 14, 2024, 9:02 AM",2
3,You’ve been selected for an online assistant role. Pay $45/hr. DM for onboarding fee info.,@adminjobsfast,"Jan 7, 2025, 4:28 PM",2
4,Immediate hire! Chat operator needed. Earn $200/day from phone. Telegram link: t.me/join_fast_now,@bestonlinejobs2025,"Sep 5, 2025, 8:00 AM",2
5,Paid survey testers needed — upfront deposit $30 required to activate account.,@surveycashcenter,"Feb 19, 2025, 11:35 AM",2
6,Remote job offer — must send ID and bank details to verify.,@verifiedteam_hr,"Oct 29, 2024, 2:16 PM",2
7,Earn $150/day liking posts! Join our program: tasks-paynow.app/login,@paynetwork_fast,"Jul 12, 2025, 3:11 PM",2
8,Apply for remote customer chat support (no interview). Just pay $49 training fee.,@quickhireonline,"Dec 8, 2024, 5:20 PM",2
9,Hiring remote assistants. Payment via gift cards only. DM to start!,@giftpayjobs,"Mar 23, 2025, 10:54 AM",2
10,Online bookkeeping job — $800/week. Register using Google Form: FORM_LINK_REDACTED.,@bookkeeperfast_apply,"Aug 14, 2025, 6:19 PM",2
11,Limited openings! Earn $300 daily doing simple tasks online. Apply now: quicktasks.vip,@dailyincomeplus,"Jan 15, 2025, 2:03 PM",2
12,Remote model coordinator needed for OF creators. $500/day. DM to apply.,@creatorsagencyfast,"Feb 2, 2024, 9:58 PM",2
13,Immediate hire! Training fee required before we send login credentials.”,@jobactivationcenter,"Nov 29, 2024, 8:40 AM",2
14,New remote data entry position — no company info until after deposit. Trust the process!,@easyentryjobs24,"July 3, 2025, 6:10 PM",2
15,Pay-per-task microjobs. Cashout instantly via Zelle. Must send SSN for verification.,@microgig_world,"Apr 19, 2025, 1:33 PM",2
16,Hiring! Work from home sorting emails. Must pay for toolkit first.,@toolkitrequiredjobs,"May 14, 2025, 3:45 PM",2
17,Recruiting remote helpers. No skills needed. DM for onboarding fee instructions.,@workeasysetup,"Dec 20, 2024, 9:00 AM",2
18,Earn $200/day reposting videos. Must download ‘PayNow Pro App’ using unknown APK.,@videorepostearn,"Oct 12, 2025, 10:15 AM",2
19,Assistant needed for crypto trading tasks. Share profits! Contact on Telegram.,@cryptotradeassist,"Jun 6, 2025, 9:57 PM",2
20,Remote call agent job. Must text recruiter privately at PHONE_REDACTED.,@privateagent_job,"Aug 22, 2025, 11:04 AM",2
21,Hiring parcel coordinators — receive packages and reship. Pay $300 per package.,@parcelworkglobal,"Jan 28, 2025, 8:33 AM",2
22,Admin job: You earn $100/day approving transactions. Must give bank login.,@dailyapprovecenter,"May 3, 2025, 6:50 PM",2
23,Work from home agent — complete your first task after $20 activation fee.,@taskfee_jobs,"Feb 9, 2025, 10:16 AM",2
